Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma,Aroma Description
"2-Propanone, 1-methoxy-",ALVERSTONE R..csv,ALVERSTONE R.,2.18566666666667,10,2.183,45,14180620.637137009,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",ALVERSTONE R..csv,ALVERSTONE R.,2.89948333333333,32,2.895,44,3328492.025154342,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Pentanal,ALVERSTONE R..csv,ALVERSTONE R.,3.31748333333333,46,3.315,44,971484.938541287,pentanal,True,"Fatty, green, pungent"
Hexanal,ALVERSTONE R..csv,ALVERSTONE R.,5.28206666666667,89,5.289,56,1164235.9306128907,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,ALVERSTONE R..csv,ALVERSTONE R.,7.93473333333333,131,7.933,56,14160.294539263545,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,ALVERSTONE R..csv,ALVERSTONE R.,9.31411666666667,165,9.322,85,3787.672880024853,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,ALVERSTONE R..csv,ALVERSTONE R.,9.5199,171,9.503,81,30218.01102654684,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,ALVERSTONE R..csv,ALVERSTONE R.,9.74916974420989,179,9.751,43,20900.656419028845,hexanol,True,"Green, grassy, herbaceous"
Octanal,ALVERSTONE R..csv,ALVERSTONE R.,10.1919,195,10.179,59,16548.896377018653,octanal,True,"Citrus, fruity, green"
Hexanol,ALVERSTONE R..csv,ALVERSTONE R.,10.6935,209,10.699,92,11391.435074834368,hexanol,True,"Green, grassy, herbaceous"
Nonanal,ALVERSTONE R..csv,ALVERSTONE R.,12.0761,253,12.102,57,13980302.7268454,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,ALVERSTONE R..csv,ALVERSTONE R.,13.59375,297,13.587,59,54136.70236287989,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ALVERSTONE R..csv,ALVERSTONE R.,13.7030666666667,300,13.703,120,13709.824809675258,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ALVERSTONE R..csv,ALVERSTONE R.,15.0342333333333,343,15.031,55,81071.73344718128,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,ALVERSTONE R..csv,ALVERSTONE R.,16.35895,386,16.349,58,113431.86602794398,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Acetophenone,ALVERSTONE R..csv,ALVERSTONE R.,19.31065,484,19.314,57,56003.23202946092,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",ANTI.csv,ANTI,2.18263333333333,10,2.183,45,14196534.869698564,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",ANTI.csv,ANTI,2.89965,32,2.895,44,3022752.2619191497,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,ANTI.csv,ANTI,5.28223333333333,89,5.289,56,1607664.093157448,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,ANTI.csv,ANTI,7.9349,131,7.933,56,17391.497279979725,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,ANTI.csv,ANTI,9.31428333333333,165,9.322,85,6019.772278869019,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,ANTI.csv,ANTI,9.52328333333333,172,9.542,79,124269.5370813128,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Octanal,ANTI.csv,ANTI,10.1952833333333,195,10.179,59,28251.007326022445,octanal,True,"Citrus, fruity, green"
Hexanol,ANTI.csv,ANTI,10.6968833333333,209,10.699,92,12030.175833951233,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,ANTI.csv,ANTI,11.4525,233,11.452,69,63764.57754406779,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,ANTI.csv,ANTI,12.0794833333333,253,12.102,57,14946077.469777834,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,ANTI.csv,ANTI,13.5971333333333,297,13.587,59,81303.61945356755,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ANTI.csv,ANTI,13.7064666666667,300,13.703,120,15459.458414372482,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ANTI.csv,ANTI,15.0376166666667,343,15.031,55,102796.60136710078,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,ANTI.csv,ANTI,16.3623333333333,386,16.349,58,168725.0946930951,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Nonanol,ANTI.csv,ANTI,18.6709666666667,463,18.668,135,9904.58745765706,1nonanol,True,"Waxy, floral, oily"
Acetophenone,ANTI.csv,ANTI,19.3108166666667,484,19.314,57,110485.35567913976,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",AVARNA.csv,AVARNA,2.18576666666667,10,2.183,45,15137864.46726396,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",AVARNA.csv,AVARNA,2.90278333333333,32,2.895,44,1843336.4537973232,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,AVARNA.csv,AVARNA,5.28215,89,5.289,56,1264123.0824766853,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,AVARNA.csv,AVARNA,7.93803333333333,131,7.933,56,10423.223595326392,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,AVARNA.csv,AVARNA,9.31935031267744,165,9.322,85,2784.445186055279,benzaldehyde,True,"Almond, cherry, sweet"
Octanal,AVARNA.csv,AVARNA,10.1952166666667,195,10.179,59,20684.0840357171,octanal,True,"Citrus, fruity, green"
Hexanol,AVARNA.csv,AVARNA,10.6968166666667,209,10.699,92,10738.92116899958,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,AVARNA.csv,AVARNA,11.4524166666667,233,11.452,69,27058.693558270763,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,AVARNA.csv,AVARNA,12.0762,253,12.102,57,8591704.331739502,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,AVARNA.csv,AVARNA,13.59385,297,13.587,59,41922.672769380864,decanal,True,"Citrus, fatty, waxy, potato-like"
