Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity
"2-Propanone, 1-methoxy-",ALVERSTONE R..csv,ALVERSTONE R.,2.18566666666667,10,2.183,45,14180620.637137009
"Butanal, 3-methyl-",ALVERSTONE R..csv,ALVERSTONE R.,2.89948333333333,32,2.895,44,3328492.025154342
Pentanal,ALVERSTONE R..csv,ALVERSTONE R.,3.31748333333333,46,3.315,44,971484.938541287
"Disulfide, dimethyl",ALVERSTONE R..csv,ALVERSTONE R.,4.06986666666667,61,4.08,79,665141.1914945066
Hexanal,ALVERSTONE R..csv,ALVERSTONE R.,5.28206666666667,89,5.289,56,1164235.9306128907
"Cyclotrisiloxane, hexamethyl-",ALVERSTONE R..csv,ALVERSTONE R.,5.88333333333333,96,5.893,207,5084176.245975236
Styrene,ALVERSTONE R..csv,ALVERSTONE R.,7.68393333333333,125,7.703,77,166346.07035984358
Heptanal,ALVERSTONE R..csv,ALVERSTONE R.,7.93473333333333,131,7.933,56,14160.294539263545
Benzaldehyde,ALVERSTONE R..csv,ALVERSTONE R.,9.31411666666667,165,9.322,85,3787.672880024853
Dimethyl trisulfide,ALVERSTONE R..csv,ALVERSTONE R.,9.5199,171,9.503,81,30218.01102654684
Phenol,ALVERSTONE R..csv,ALVERSTONE R.,9.74916974420989,179,9.751,43,20900.656419028845
"5-Hepten-2-one, 6-methyl-",ALVERSTONE R..csv,ALVERSTONE R.,9.87036666666667,184,9.883,94,845267.9084282669
"Furan, 2-pentyl-",ALVERSTONE R..csv,ALVERSTONE R.,9.96683333333333,187,9.948,53,214300.9366502569
"Cyclotetrasiloxane, octamethyl-",ALVERSTONE R..csv,ALVERSTONE R.,10.0890166666667,192,10.089,281,2885379.967816006
Octanal,ALVERSTONE R..csv,ALVERSTONE R.,10.1919,195,10.179,59,16548.896377018653
"1-Hexanol, 2-ethyl-",ALVERSTONE R..csv,ALVERSTONE R.,10.6935,209,10.699,92,11391.435074834368
Linalool,ALVERSTONE R..csv,ALVERSTONE R.,12.00215,250,11.999,105,307833.88527203776
Nonanal,ALVERSTONE R..csv,ALVERSTONE R.,12.0761,253,12.102,57,13980302.7268454
Dodecane,ALVERSTONE R..csv,ALVERSTONE R.,13.59375,297,13.587,59,54136.70236287989
Decanal,ALVERSTONE R..csv,ALVERSTONE R.,13.7030666666667,300,13.703,120,13709.824809675258
Tridecane,ALVERSTONE R..csv,ALVERSTONE R.,15.0342333333333,343,15.031,55,81071.73344718128
Tetradecane,ALVERSTONE R..csv,ALVERSTONE R.,16.35895,386,16.349,58,113431.86602794398
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",ALVERSTONE R..csv,ALVERSTONE R.,16.5840333333333,393,16.591,84,37987.91869260881
Hexadecane,ALVERSTONE R..csv,ALVERSTONE R.,18.7511833333333,465,18.726,169,26037.26264113962
Benzophenone,ALVERSTONE R..csv,ALVERSTONE R.,19.31065,484,19.314,57,56003.23202946092
"2-Propanone, 1-methoxy-",ANTI.csv,ANTI,2.18263333333333,10,2.183,45,14196534.869698564
"Butanal, 3-methyl-",ANTI.csv,ANTI,2.89965,32,2.895,44,3022752.2619191497
